id,canonical_url,license,stars,pushed_at,maintenance,purpose,fit
gpt-researcher,https://github.com/assafelovic/gpt-researcher,Apache-2.0,28344,2026-07-16,active (pushed same day),autonomous deep research agent producing cited reports,retriever-interface + planner/executor map directly onto connector/pack architecture
storm,https://github.com/stanford-oval/storm,MIT,30109,2025-09-30,slowing (last push 2025-09),perspective-guided research + Wikipedia-style article synthesis (paper: NAACL 2024 STORM; Co-STORM EMNLP 2024),perspective-driven query expansion is the direct fix for the engine's single-verbatim-query planning
open_deep_research,https://github.com/langchain-ai/open_deep_research,MIT,12027,2026-07-16,active,configurable open deep-research agent (LangGraph supervisor + parallel researchers),replayable graph state answers the engine's no-replay gap
crawl4ai,https://github.com/unclecode/crawl4ai,Apache-2.0,72966,2026-07-15,active,LLM-friendly crawler/scraper,replaces 4000-char HTMLParser truncation; its bounded-crawl config is a template for the roadmapped web_crawler connector
firecrawl,https://github.com/firecrawl/firecrawl,AGPL-3.0,151958,2026-07-16,active,search+scrape+crawl API with JS rendering,interface pattern only — AGPL-3.0: do NOT vendor code into MIT repo; optional external connector acceptable
searxng,https://github.com/searxng/searxng,AGPL-3.0,33987,2026-07-16,active,self-hosted metasearch engine (no API key),cleanest key-free path to a real web_search connector (call as external service; AGPL irrelevant for API use)
smolagents,https://github.com/huggingface/smolagents,Apache-2.0,28388,2026-07-14,active,minimal code-thinking agent library,philosophy already aligned; limited direct reuse
deer-flow,https://github.com/bytedance/deer-flow,MIT,77212,2026-07-16,very active,open long-horizon research/coding SuperAgent harness,plan-review human gate matches engine's human_gates concept but is actually enforced in workflow
anthropic-multi-agent-research,https://www.anthropic.com/engineering/multi-agent-research-system,n/a (article),,,,,effort-scaling + eval-first practice transferable; multi-agent itself is out of scope for a deterministic collection engine
deepresearch-bench,https://github.com/Ayanami0730/deep_research_bench,see repo,,,,"benchmark for deep research agents (RACE report quality + FACT citation grounding); DeepResearch Bench II (arXiv 2601.08536, 2026-02): 132 tasks/22 domains/9430 binary rubrics",template for this repo's missing benchmark/eval layer
browsecomp-plus,https://github.com/texttron/BrowseComp-Plus,see repo,,,,fair deep-research eval on fixed ~100K-doc corpus (ACL 2026 Main); isolates retriever from agent,"fixed-corpus harness fits the engine's deterministic, fixture-friendly test philosophy"
